title,author,avg_rating,rating_count,popularity_score,text
Clara Callan,Richard Bruce Wright,7.666666666666667,9.0,17.65315237962102,Clara Callan Richard Bruce Wright
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,7.833333333333333,6.0,15.24296283426662,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It Gina Bari Kolata
The Kitchen God's Wife,Amy Tan,8.176470588235293,17.0,23.633039667503933,The Kitchen God's Wife Amy Tan
The Kitchen God's Wife,Amy Tan,8.010204081632653,98.0,36.807847779139315,The Kitchen God's Wife Amy Tan
A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,7.64,25.0,24.891857550484122,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series) Jack Canfield
The Testament,John Grisham,7.704142011834319,169.0,39.56692050319196,The Testament John Grisham
The Testament,John Grisham,7.314814814814815,54.0,29.31290015123752,The Testament John Grisham
The Testament,John Grisham,6.857142857142857,35.0,24.572701292270466,The Testament John Grisham
Beloved (Plume Contemporary Fiction),Toni Morrison,7.772151898734177,79.0,34.05777662898434,Beloved (Plume Contemporary Fiction) Toni Morrison
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,8.307692307692308,13.0,21.924476276803688,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source The Onion
New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,9.25,8.0,20.324327340360032,New Vegetarian: Bold and Beautiful Recipes for Every Occasion Celia Brooks Brown
Wild Animus,Rich Shapero,4.3907056798623065,581.0,27.953297955529948,Wild Animus Rich Shapero
Airframe,Michael Crichton,7.455696202531645,79.0,32.67105933953058,Airframe Michael Crichton
Airframe,Michael Crichton,7.543478260869565,46.0,29.04350473463892,Airframe Michael Crichton
Timeline,MICHAEL CRICHTON,7.851282051282051,195.0,41.439966888625236,Timeline MICHAEL CRICHTON
Prague : A Novel,ARTHUR PHILLIPS,6.571428571428571,14.0,17.79575846438595,Prague : A Novel ARTHUR PHILLIPS
Prague : A Novel,ARTHUR PHILLIPS,6.5,8.0,14.281959752685427,Prague : A Novel ARTHUR PHILLIPS
Lying Awake,Mark Salzman,7.0,8.0,15.380572041353537,Lying Awake Mark Salzman
Lying Awake,Mark Salzman,7.904761904761905,21.0,24.433954631308595,Lying Awake Mark Salzman
To Kill a Mockingbird,Harper Lee,8.94392523364486,214.0,48.03458498054368,To Kill a Mockingbird Harper Lee
